fold,epoch,train_loss,val_mae_phys,val_rmse_phys,bias_phys,best_val_mae_phys_so_far,improved,epochs_without_improvement
1,31,0.19727184842614567,0.287631094455719,0.3661521152302926,0.21778732538223267,0.23735935986042023,False,7
1,32,0.19909359142184258,0.3115726113319397,0.3609338206974775,-0.16681239008903503,0.23735935986042023,False,8
2,1,0.8016374963853095,0.5288591980934143,0.8031163478637602,0.33232778310775757,0.5288591980934143,True,0
2,2,0.44595433512909544,0.484391987323761,0.7193004739239798,0.19605067372322083,0.484391987323761,True,0
2,3,0.39200808356205624,0.484380841255188,0.6817444336988824,0.09015443921089172,0.484380841255188,True,0
2,4,0.38602490609304774,0.5502246618270874,0.6871760645561537,-0.10648901015520096,0.484380841255188,False,1
2,5,0.3826803542259667,0.5107437968254089,0.6840912670571219,0.004726900719106197,0.484380841255188,False,2
2,6,0.3347555866671933,0.4835474491119385,0.7066079869701338,0.2361583411693573,0.4835474491119385,True,0
2,7,0.3548557110544708,0.5350122451782227,0.683064108435592,-0.06277209520339966,0.4835474491119385,False,1
2,8,0.3061985741886828,0.47899875044822693,0.7413438921512074,0.3182428181171417,0.47899875044822693,True,0
2,9,0.34538624596057665,0.506149411201477,0.6752749845436616,0.023169895634055138,0.47899875044822693,False,1
2,10,0.3067485700464911,0.4774642288684845,0.6764655424774998,0.09765547513961792,0.4774642288684845,True,0
2,11,0.3082446331779162,0.4787547290325165,0.6708897974604567,0.06929387897253036,0.4774642288684845,False,1
2,12,0.30503757008247906,0.47198233008384705,0.6766379113930759,0.11837030947208405,0.47198233008384705,True,0
2,13,0.3147440089119805,0.4838888645172119,0.6708567021921857,0.056037817150354385,0.47198233008384705,False,1
2,14,0.2670852876164847,0.47530823945999146,0.6709178049992887,0.12638001143932343,0.47198233008384705,False,2
2,15,0.27693914497892064,0.5312456488609314,0.6826488613044005,-0.11233717203140259,0.47198233008384705,False,3
2,16,0.3115809350791905,0.4741080105304718,0.6878907870325508,0.2268645018339157,0.47198233008384705,False,4
2,17,0.2946758915980657,0.47544893622398376,0.6669387014008401,0.04761231690645218,0.47198233008384705,False,5
2,18,0.29889765485293335,0.48003941774368286,0.6559449122474891,0.0009457924752496183,0.47198233008384705,False,6
2,19,0.28530731093552375,0.46524354815483093,0.6706235008542956,0.14759327471256256,0.46524354815483093,True,0
2,20,0.25597940975179273,0.46818211674690247,0.6688568725040085,0.09349316358566284,0.46524354815483093,False,1
2,21,0.2580907193219496,0.4738929867744446,0.6589269987317204,0.0402279756963253,0.46524354815483093,False,2
2,22,0.24426470220916802,0.4714880585670471,0.7022976988566647,0.313163161277771,0.46524354815483093,False,3
2,23,0.3051353611258997,0.4515228569507599,0.6613009082761417,0.12051545828580856,0.4515228569507599,True,0
2,24,0.25071352374571787,0.47063496708869934,0.6388847392979452,0.03300492838025093,0.4515228569507599,False,1
2,25,0.25901713802159065,0.46610507369041443,0.6367517006427893,0.04532237723469734,0.4515228569507599,False,2
2,26,0.2943060954825746,0.4854397475719452,0.6465343444505305,-0.11186469346284866,0.4515228569507599,False,3
2,27,0.3251878205272887,0.48155099153518677,0.650145911382293,-0.0799960121512413,0.4515228569507599,False,4
